idAdresse,ligne,code_postale,ville,pays,AdresseLivraison,AdresseFacturation,activite_adresse
90,60 Everglades Way,46654,Leshan,Namibia,True,True,True
91,60 Willingdon Ave,16650,Baotou,Djibouti,True,True,True
92,5484 Durness Place,12455,AMMAN,Cote D'Ivoire (Ivory Coast),True,True,True
93,74 Wilder St.,28452,Jiangyin,Malawi,True,True,True
94,0 Chinook Dr.,59024,Kharkov,Antarctica,True,True,True
95,10 Southwest Blvd,86373,Handan,Bolivia,True,True,True
96,6526 N. Glenoaks Blvd,30116,Yixing,Belarus,True,True,True
97,5 Muzzatta Way,28767,La Matanza,Ireland,True,True,True
98,80 Sulgrave Lane,77547,Caloocan,St. Pierre and Miquelon,True,True,True
99,32 Highland Drive,94373,Xian,Sweden,True,True,True
100,7561 Jefferson Ave,76365,Davao,Pitcairn,True,True,True
101,781 Willowcrest,23757,Milano,Antigua and Barbuda,True,True,True
102,83 Close Gardens Court,23430,Medellín,Neutral Zone,False,False,True
103,8 Weber Street North,22603,Xinghua,Albania,False,False,True
104,954 ZW Bruce Street,62681,Shijiazhuang,Slovak Republic,False,False,True
105,769 Waterford Blvd,19402,Dengzhou,Yemen,False,False,True
106,0 Main St.,29031,Hefei,Monaco,False,False,True
107,3 Clearwater Pkwy,60288,Birmingham,Bulgaria,False,False,True
108,87 Prospect Hill,56262,Jimo,Belarus,False,False,True
109,3 Stony Field Rd,88160,Pusan,Brazil,False,False,True
110,8793 Highland Drive,86011,Qinzhou,New Zealand (Aotearoa),False,False,True
111,15 Foxway,69758,Baotou,Haiti,False,False,True
112,4 Shallowford Rd,39870,Chengdu,Western Sahara,False,False,True
113,265 Willingdon Ave,25032,Belgrade,Ukraine,False,False,True
114,0322 E. Plumb Lane,77562,Prague,Ukraine,False,False,True
115,639 S. Brockbank Drive,28194,Multan,Antigua and Barbuda,False,False,True
116,4 E. Marions Rd,01251,Tianshui,Thailand,False,False,True
117,37 Hidden Valley Drive,81662,Prague,Norfolk Island,False,False,True
118,017 Dairy Rd,20519,Yixing,S. Georgia and S. Sandwich Isls.,False,False,True
119,95 Waterford Blvd,34349,BOGOTA,Monaco,False,False,False
120,48 Danielle Ct.,29113,Suqian,Slovenia,False,False,False
121,0 Acorn Dr.,52568,Xinghua,Comoros,False,False,False
122,4597 Lindstrom Rd,51899,Calcutta,Austria,False,False,False
123,4 Muzzatta Way,90242,Huainan,Niger,False,False,False
124,4 Crookston Lane,48150,YANGON,Bouvet Island,False,False,False
125,74 Summer Drive,44753,Jingmen,Nepal,False,False,False
126,49 Braemar Drive,50970,Faisalabad,Taiwan,False,False,False
127,065 East 74th Street,61683,Omsk,Lebanon,False,False,False
128,2 South 9th Street,10144,Baotou,Guadeloupe,False,False,False
129,1558 27th Street North,54435,Shenyang,Slovenia,False,False,False
130,02 South MacArthur,60314,Lucknow,Turks and Caicos Islands,False,False,False
131,802 New London Street,60387,Faisalabad,Mauritania,False,False,False
132,92 Elm Drive,18557,Novosibirsk,Luxembourg,False,False,False
133,19 E. Broward Blvd.,65569,St Petersburg,Bouvet Island,False,False,False
134,9518 Devonshire Rd,29017,Hyderabad,Cayman Islands,False,False,False
135,1 River Rd,77423,BUENOS AIRES,Cook Islands,False,False,False
